Price,Cells,Capacity (mAh),Dollars per Wh,Link
$3.91,1,2200,0.48034,http://www.hobbyking.com/hobbyking/store/__18558__Turnigy_2200mAh_1S_20C_Lipoly_Single_Cell_.html
$26.34,4,3700,0.48101,http://www.hobbyking.com/hobbyking/store/__9338__Rhino_3700mAh_4S_14_8v_25C_Lipoly_Pack_.html
$42.90,6,4000,0.48311,http://www.hobbyking.com/hobbyking/store/__9178__Turnigy_4000mAh_6S_20C_Lipo_Pack.html
$28.60,4,4000,0.48311,http://www.hobbyking.com/hobbyking/store/__9463__Turnigy_4000mAh_4S_20C_Lipo_Pack.html
$83.23,8,5800,0.4848,http://www.hobbyking.com/hobbyking/store/__21385__ZIPPY_Compact_5800mAh_8S_25C_Lipo_Pack.html
$93.64,9,5800,0.48483,http://www.hobbyking.com/hobbyking/store/__21386__ZIPPY_Compact_5800mAh_9S_25C_Lipo_Pack.html
$8.98,1,5000,0.48541,http://www.hobbyking.com/hobbyking/store/__18560__Turnigy_5000mAh_1S_20C_Lipoly_Single_Cell_.html
$5.39,3,1000,0.48559,http://www.hobbyking.com/hobbyking/store/__21334__ZIPPY_Compact_1000mAh_3S_25C_Lipo_Pack.html
$6.33,2,1750,0.4888,http://www.hobbyking.com/hobbyking/store/__7312__Rhino_1750mAh_2S_7_4v_20C_Lipoly_Pack.html
$13.44,2,3700,0.49087,http://www.hobbyking.com/hobbyking/store/__9339__Rhino_3700mAh_2S_7_4v_25C_Lipoly_Pack.html
$5.49,3,1000,0.49459,http://www.hobbyking.com/hobbyking/store/__9163__Turnigy_1000mAh_3S_20C_Lipo_Pack.html
$27.17,4,3700,0.49617,http://www.hobbyking.com/hobbyking/store/__7296__Rhino_3700mAh_4S_14_8v_20C_Lipoly_Pack_.html
$12.90,4,1750,0.49807,http://www.hobbyking.com/hobbyking/store/__7345__Rhino_1750mAh_4S_14_8v_20C_Lipoly_Pack.html
$13.00,3,2350,0.49837,http://www.hobbyking.com/hobbyking/store/__7294__Rhino_2350mAh_3S_11_1v_20C_Lipoly_Pack_.html
$55.34,6,5000,0.49856,http://www.hobbyking.com/hobbyking/store/__21373__ZIPPY_Compact_5000mAh_6S_25C_Lipo_Pack.html
$64.58,7,5000,0.49869,http://www.hobbyking.com/hobbyking/store/__21374__ZIPPY_Compact_5000mAh_7S_25C_Lipo_Pack.html
$36.99,5,4000,0.49986,http://www.hobbyking.com/hobbyking/store/__21362__ZIPPY_Compact_4000mAh_5S_25C_Lipo_Pack.html
$46.24,5,5000,0.49989,http://www.hobbyking.com/hobbyking/store/__21372__ZIPPY_Compact_5000mAh_5S_25C_Lipo_Pack.html
$37.00,4,5000,0.5,http://www.hobbyking.com/hobbyking/store/__21371__ZIPPY_Compact_5000mAh_4S_25C_Lipo_Pack.html
$8.05,3,1450,0.50016,http://www.hobbyking.com/hobbyking/store/__9787__Turnigy_1450mAh_3S_11_1v_Transmitter_Lipoly_Pack.html
$27.76,3,5000,0.50018,http://www.hobbyking.com/hobbyking/store/__21370__ZIPPY_Compact_5000mAh_3S_25C_Lipo_Pack.html
